,1,2,3,4,Avg
1_75,166.89995522410086,165.05335721139443,163.5498176692445,163.61906254706201,164.78054816295042
1_76,166.91971049909853,165.07330949578073,163.56990518435936,163.6390913260159,164.80050412631363
1_77,166.92995705073085,165.08365883907584,163.58032511975006,163.64948073603702,164.81085543639844
1_78,166.93501457397278,165.08876737368223,163.58546870381898,163.65460923363702,164.81596497127777
1_79,166.93739761169914,165.09117456598668,163.58789250098505,163.65702591745938,164.81837264903257
1_80,166.93847259223134,165.09226049146304,163.58898595437813,163.6581161617818,164.81945879996357
1_81,166.9389380487643,165.09273070631036,163.58945944371052,163.65858826228566,164.8199291152677
1_82,166.93913195806945,165.09292660518966,163.58965671246546,163.65878495304585,164.8201250571926
1_83,166.9392098516829,165.09300530063905,163.58973596029693,163.6588639690547,164.8202037704184
1_84,166.93924008261519,165.0930358436755,163.58976671845699,163.65889463742775,164.82023432054388
1_85,166.93925143897565,165.09304731757973,163.58977827342437,163.6589061587522,164.820245797183
2_0,166.9979307290881,165.21696939873215,163.58183212605812,163.72255891279988,164.87982279166954
2_1,167.0366781596912,165.2399746521045,163.61214532960562,163.73271676956088,164.90537872774055
2_2,167.04045037416643,165.21529481245383,163.64303634789908,163.71805417661804,164.90420892778434
2_3,167.0569758682492,165.25193486295788,163.7125042116866,163.75572250742064,164.94428436257857
2_4,167.15258269635373,165.3369421761808,163.82779149644213,163.82642718945894,165.0359358896089
2_5,167.31792140072912,165.45867673958637,163.92422997177337,163.89970680571255,165.15013372945035
2_6,167.5122226512985,165.5913858732953,163.99652162985362,163.9891413930731,165.27231788688016
2_7,167.69685206498966,165.71777603983827,164.06781547018622,164.07875499645326,165.39029964286686
2_8,167.84842848454036,165.82881692895657,164.1452164204544,164.16144047766105,165.4959755779031
2_9,167.96158407921894,165.91968594620147,164.22043648424605,164.23410503058977,165.58395288506404
2_10,168.04461856302643,165.99278429047766,164.2879431351107,164.2973932312508,165.6556848049664
2_11,168.10718798791962,166.05180484312731,164.3455837259798,164.351682998136,165.7140648887907
2_12,168.15950500961748,166.1031449417849,164.3967650460047,164.40074185190898,165.76503921232901
2_13,168.21278261819612,166.15629721919112,164.44993416918132,164.45266390585712,165.8179194781064
2_14,168.27621221901092,166.2199161391097,164.51357385788927,164.51552627804776,165.8813071235144
2_15,168.3528705761422,166.29697743347327,164.59072496125467,164.59210423508733,165.95816930148936
2_16,168.43850571949642,166.38318304163212,164.67712745349758,164.67801739726656,166.04420840297317
2_17,168.5250364781971,166.470401399236,164.764649727302,164.76509400725618,166.1312954029978
2_18,168.60381218937104,166.54992485689576,164.8445642171345,164.84460943893728,166.21072767558462
2_19,168.6696203012752,166.61646959607128,164.9115418682856,164.91125880003713,166.2772226414173
